7661,New FDA Approve Medical Device For Migraine Headaches,http://www.thealmagest.com/new-fda-approve-medical-device-for-migraine-headaches/11010,The Almagest,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.thealmagest.com,1394620616677
7662,Migraine headband gains FDA approval,http://www.spokesman.com/stories/2014/mar/12/migraine-headband-gains-fda-approval/,The Spokesman Review,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.spokesman.com,1394620616881
7663,FDA Approves Anti-migraine Device,http://newstonight.co.za/content/fda-approves-anti-migraine-device,News Tonight Africa,m,d4gL7pOI6zok1lMAtmNH143noFP8M,newstonight.co.za,1394620617066
7664,US approves electric headband to prevent migraine,http://profit.ndtv.com/news/international-business/article-us-approves-electric-headband-to-prevent-migraine-382754,NDTV,m,d4gL7pOI6zok1lMAtmNH143noFP8M,profit.ndtv.com,1394620617226
7665,FDA Approves First Medical Migraine Prevention Device,http://www.hngn.com/articles/26321/20140312/fda-approves-first-medical-migraine-prevention-device.htm,Headlines \& Global News,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.hngn.com,1394620617419
7666,FDA approves first device to prevent migraine headaches,http://www.foxnews.com/health/2014/03/12/fda-approves-electric-headband-to-prevent-migraine/,Fox News,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.foxnews.com,1394620617621
7667,FDA Approves Electrical Headband For Migraine Treatment,http://www.ordoh.com/2014/03/fda-approves-electrical-headband-migraine-treatment/,Ordoh News,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.ordoh.com,1394620617831
7668,FDA Approves Marketing Of First Medical Device To Prevent Migraine Headaches,http://www.rttnews.com/2284519/fda-approves-marketing-of-first-medical-device-to-prevent-migraine-headaches.aspx\?type=bn&amp;utm_source=google&amp;utm_campaign=sitemap,RTT News,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.rttnews.com,1394620617980
7669,FDA backs headband for migraines,http://www.bostonglobe.com/business/technology/2014/03/11/fda-approves-electric-headband-prevent-migraine/emPdoo0VurLpYxVUYJAvdM/story.html,Boston Globe,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.bostonglobe.com,1394620618165
7670,Device Approved by FDA to Help With Migraines,http://technewsperk.com/device-approved-by-fda-to-help-with-migraines/71/,Technology Perk,m,d4gL7pOI6zok1lMAtmNH143noFP8M,technewsperk.com,1394620618351
7671,"Electric Headband for Migraine Prevention, FDA Approves First Medical Device  ...",http://www.fashiontimes.com/articles/3449/20140311/migraine-prevention-electric-headband-fda-approves.htm,Fashion Times,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.fashiontimes.com,1394620618503
7672,FDA Approves Migraine Treatment Device,http://www.nasdaq.com/article/fda-approves-migraine-treatment-device-20140311-01318,NASDAQ,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.nasdaq.com,1394620618681
7673,Medical device for migraine prevention OK'd,http://www.kspr.com/news/health/Medical-device-for-migraine-prevention-OK-d/21051714_24928810,KSPR,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.kspr.com,1394620618932
7674,FDA Approves Headband Device for Migraine,http://www.medpagetoday.com/Neurology/Migraines/44725,MedPage Today,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.medpagetoday.com,1394620619126
7675,FDA Approves First Device to Prevent Migraines,http://americannewsreport.com/nationalpainreport/fda-approves-first-device-prevent-migraines-8823248.html,American News Report,m,d4gL7pOI6zok1lMAtmNH143noFP8M,americannewsreport.com,1394620619319
7676,FDA approves first device to prevent migraine,http://news.xinhuanet.com/english/health/2014-03/12/c_133178595.htm,Xinhua,m,d4gL7pOI6zok1lMAtmNH143noFP8M,news.xinhuanet.com,1394620619513
7677,The First Ever Migraine Headband Approved By The FDA,http://americanlivewire.com/2014-03-11-first-ever-migraine-headband-approved-fda/,American Live Wire,m,d4gL7pOI6zok1lMAtmNH143noFP8M,americanlivewire.com,1394620619712
7678,US FDA approves electric headband to prevent migraine,http://economictimes.indiatimes.com/articleshow/31863575.cms,Economic Times,m,d4gL7pOI6zok1lMAtmNH143noFP8M,economictimes.indiatimes.com,1394620619955
7679,"Cefaly, device for migraine pain relief, gets FDA ok",http://www.theglobaldispatch.com/cefaly-device-for-migraine-pain-relief-gets-fda-ok-52772/,The Global Dispatch,m,d4gL7pOI6zok1lMAtmNH143noFP8M,www.theglobaldispatch.com,1394620620200
7680,High-tech electronic headband may help prevent migraines,http://news.cnet.com/8301-17938_105-57620201-1/high-tech-electronic-headband-may-help-prevent-migraines/,CNET \(blog\),m,d4gL7pOI6zok1lMAtmNH143noFP8M,news.cnet.com,1394620620367
